I lose.|I lost.
He give a series of lectures on Japanese literature at UCLA.|He gave a series of lectures on Japanese literature at UCLA.
He have just finished his homework when the clock struck ten.|He had just finished his homework when the clock struck ten.
He met many fascinate people in the course of his travels.|He met many fascinating people in the course of his travels.
He offer no specific explanation for his strange behavior.|He offered no specific explanation for his strange behavior.
He order the book from the publisher in the United States.|He ordered the book from the publisher in the United States.
He quickly scan the page for the word he was looking for.|He quickly scanned the page for the word he was looking for.
He tie his dog up to the tree while he went into the store.|He tied his dog up to the tree while he went into the store.
He take charge of the family business after his father died.|He took charge of the family business after his father died.
He's bulk up quite a bit since he's been going to the gym.|He's bulked up quite a bit since he's been going to the gym.
It's a small world, ben't it?|It's a small world, isn't it?
Her son be a mama's boy.|Her son is a mama's boy.
He have to be with her all the time.|He has to be with her all the time.
Hbe bag be right here, so he cannot have gone to school yet.|His bag is right here, so he cannot have gone to school yet.
Hbetory be replete with the stories of unappreciated genius.|History is replete with the stories of unappreciated genius.
How could you just walk out the door without say goodbye?|How could you just walk out the door without saying goodbye?
How do you console a woman who have just lost her only child?|How do you console a woman who has just lost her only child?
How many times do I have to repeat that she ben't my friend?|How many times do I have to repeat that she isn't my friend?
I always end up look up the same words in the dictionary.|I always end up looking up the same words in the dictionary.
I be not sure yet if I will go to a university or get a job.|I am not sure yet if I will go to a university or get a job.
I checked twice to make certain we haven't made any mistakes.|I checked twice to make certain we hadn't made any mistakes.
I copy in my notebook whatever he wrote on the blackboard.|I copied in my notebook whatever he wrote on the blackboard.
I don't have enough time to eat everything that was served.|I didn't have enough time to eat everything that was served.
I don't feel like study today.|I don't feel like studying today.
I feel ashamed that I get such bad marks in the examination.|I feel ashamed that I got such bad marks in the examination.
I forgot to tell you what time the meeting's go to start.|I forgot to tell you what time the meeting's going to start.
I have a hard time trying to persuade him to cancel the trip.|I had a hard time trying to persuade him to cancel the trip.
I have my car filled up at the service station at the corner.|I had my car filled up at the service station at the corner.
I have never seen a windmill until I visited the Netherlands.|I had never seen a windmill until I visited the Netherlands.
I haven't planned to tell you about what happened last night.|I hadn't planned to tell you about what happened last night.
One be male and the other two are female.|One is male and the other two are female.
I haven't eat at my grandmother's house since I was a kid.|I haven't eaten at my grandmother's house since I was a kid.
I haven't get the foggiest notion what you're talking about.|I haven't got the foggiest notion what you're talking about.
I hear Tom be the one who taught you how to play the cello.|I hear Tom was the one who taught you how to play the cello.
I know that thbe be the first time thbe has happened to you.|I know that this is the first time this has happened to you.
I must confess that my theory don't account for that fact.|I must confess that my theory doesn't account for that fact.
I spent two hours watch a baseball game on TV last night.|I spent two hours watching a baseball game on TV last night.
I spent two hours yesterday try to fix that broken radio.|I spent two hours yesterday trying to fix that broken radio.
I think it's time for me to reconsider how I've be living.|I think it's time for me to reconsider how I've been living.
I think thbe be the most impressive building on Park Street.|I think this is the most impressive building on Park Street.
I thought he love you, but as it is, he love another girl.|I thought he loved you, but as it is, he loved another girl.
I want to apologize for all the things I say earlier today.|I want to apologize for all the things I said earlier today.
I be dialing his number just as he walked through the door.|I was dialing his number just as he walked through the door.
I be just about to leave the house when the telephone rang.|I was just about to leave the house when the telephone rang.
I be thinking about going to that new place on Park Street.|I was thinking about going to that new place on Park Street.
I be wondering when you were going to tell me you loved me.|I was wondering when you were going to tell me you loved me.
I ben't supposed to help my son do his homework, but I did.|I wasn't supposed to help my son do his homework, but I did.
I go with them so that I could guide them around Nagasaki.|I went with them so that I could guide them around Nagasaki.
I wish I have eaten at that restaurant before it burned down.|I wish I had eaten at that restaurant before it burned down.
I'd say we be definitely going to have a good time tonight.|I'd say we are definitely going to have a good time tonight.
I'll ask him where he be planning to go during the vacation.|I'll ask him where he is planning to go during the vacation.
I'll treat you like an adult when you start act like one.|I'll treat you like an adult when you start acting like one.
I'm go to take my vacation in September rather than July.|I'm going to take my vacation in September rather than July.
I'm sure you do what you thought was the right thing to do.|I'm sure you did what you thought was the right thing to do.
I've just arrive.|I've just arrived.
If I have it all to do over again, I wouldn't change a thing.|If I had it all to do over again, I wouldn't change a thing.
If I have worked hard in my youth, I would be successful now.|If I had worked hard in my youth, I would be successful now.
If he'd be there, he'd have told you to mind your manners.|If he'd been there, he'd have told you to mind your manners.
If it have not been for civil war, they would be wealthy now.|If it had not been for civil war, they would be wealthy now.
If you behave like a flunkey, you're treat like a flunkey.|If you behave like a flunkey, you're treated like a flunkey.
If you have stayed here, you would have have a very good time.|If you had stayed here, you would have had a very good time.
If you have taken my advice, you wouldn't be in such trouble.|If you had taken my advice, you wouldn't be in such trouble.
If you want something do right, you should do it yourself.|If you want something done right, you should do it yourself.
In 1860, Lincoln be elected President of the United States.|In 1860, Lincoln was elected President of the United States.
It be interesting to hear from someone in a different field.|It is interesting to hear from someone in a different field.
It be strange that you should know nothing about the matter.|It is strange that you should know nothing about the matter.
It ben't what he says that annoys me but the way he says it.|It isn't what he says that annoys me but the way he says it.
It seem that our sense of direction is not always reliable.|It seems that our sense of direction is not always reliable.
It take me a while to understand what she was trying to say.|It took me a while to understand what she was trying to say.
It be determined that the plane crashed due to pilot error.|It was determined that the plane crashed due to pilot error.
It be heartless of him to say such a thing to the sick man.|It was heartless of him to say such a thing to the sick man.
It be once thought that there be intelligent life on Mars.|It was once thought that there was intelligent life on Mars.
It be only yesterday that I realized what she really meant.|It was only yesterday that I realized what she really meant.
It be raining so hard that we had to put off our departure.|It was raining so hard that we had to put off our departure.
It be such a hard test that we did not have time to finish.|It was such a hard test that we did not have time to finish.
It's be almost ten years, but you're as beautiful as ever.|It's been almost ten years, but you're as beautiful as ever.
It's not hard to stand out when you're surround by idiots.|It's not hard to stand out when you're surrounded by idiots.
It's obvious that he's not use to living on a tight budget.|It's obvious that he's not used to living on a tight budget.
Just because he likes painting don't mean he's good at it.|Just because he likes painting doesn't mean he's good at it.
Last night there be a fire near here, and I couldn't sleep.|Last night there was a fire near here, and I couldn't sleep.
Lawyers and auto mechanics be the people I trust the least.|Lawyers and auto mechanics are the people I trust the least.
Looking at your Facebook friends' photos be a waste of time.|Looking at your Facebook friends' photos is a waste of time.
Los Angeles be the second largest city in the United States.|Los Angeles is the second largest city in the United States.
Many people in my grandfather's generation grow up on farms.|Many people in my grandfather's generation grew up on farms.
Mary promise her mother that she would help her more often.|Mary promised her mother that she would help her more often.
Mary's closets be full of clothes she hasn't worn in years.|Mary's closets are full of clothes she hasn't worn in years.
Nobody knows what it be that has been bothering him so much.|Nobody knows what it is that has been bothering him so much.
Nothing be more pleasant than taking a rest after hard work.|Nothing is more pleasant than taking a rest after hard work.
Now that Tom be unemployed, he has quite a bit of free time.|Now that Tom is unemployed, he has quite a bit of free time.
Now that you be grown up, you must not behave like a child.|Now that you are grown up, you must not behave like a child.
One of the children be studying, but the others are playing.|One of the children is studying, but the others are playing.
People can choose to start love, but can't choose to stop.|People can choose to start loving, but can't choose to stop.
Pizza be the kind of food that fits into today's life style.|Pizza is the kind of food that fits into today's life style.
Please remain seat until the aircraft arrives at the gate.|Please remain seated until the aircraft arrives at the gate.
Please remain seat until the bus comes to a complete stop.|Please remain seated until the bus comes to a complete stop.
Population growth have given rise to serious social problems.|Population growth has given rise to serious social problems.
Seeing the woman with the yellow hat remind me of a story.|Seeing the woman with the yellow hat reminded me of a story.
She advise him to talk about his life in the United States.|She advised him to talk about his life in the United States.
She couldn't fall asleep because she be thinking about him.|She couldn't fall asleep because she was thinking about him.
She don't have a babysitter, so she can't go to the party.|She doesn't have a babysitter, so she can't go to the party.
She first come into contact with Japanese culture last year.|She first came into contact with Japanese culture last year.
She look after her sister, who was in bed with a bad cold.|She looked after her sister, who was in bed with a bad cold.
She make me so angry on the telephone that I hung up on her.|She made me so angry on the telephone that I hung up on her.
She still loves him even though he don't love her anymore.|She still loves him even though he doesn't love her anymore.
She be advised by him not to borrow money from his friends.|She was advised by him not to borrow money from his friends.
She be livid when she found out all the lies he'd told her.|She was livid when she found out all the lies he'd told her.
Some babies learn to swim even before they be one year old.|Some babies learn to swim even before they are one year old.
Some countries in Europe be not part of the European Union.|Some countries in Europe are not part of the European Union.
Someone be standing behind the bushes taking pictures of us.|Someone is standing behind the bushes taking pictures of us.
Sometimes I wonder whether or not I make the right decision.|Sometimes I wonder whether or not I made the right decision.
Stop make a fool of yourself.|Stop making a fool of yourself.
Everyone be laughing at you.|Everyone is laughing at you.
Strictly speak, Chinese consists of hundreds of dialects.|Strictly speaking, Chinese consists of hundreds of dialects.
Take this fold umbrella with you.|Take this folding umbrella with you.
Taking advantage of the holidays, I return home to Nagoya.|Taking advantage of the holidays, I returned home to Nagoya.
That job ben't very interesting.|That job wasn't very interesting.
However, the pay be good.|However, the pay was good.
The only problem be that it's not true.|The only problem is that it's not true.
She be a large ship.|She was a large ship.
The best way to predict the future be to create it yourself.|The best way to predict the future is to create it yourself.
The cat burglar must have enter the mansion from the roof.|The cat burglar must have entered the mansion from the roof.
The child sat on his mother's lap and listen to the story.|The child sat on his mother's lap and listened to the story.
The crown prince be the one who be to succeed to the throne.|The crown prince is the one who is to succeed to the throne.
The delay force us to stay overnight in an expensive hotel.|The delay forced us to stay overnight in an expensive hotel.
The expedition have postponed its departure to the Antarctic.|The expedition has postponed its departure to the Antarctic.
The first thing you have to take into consideration be time.|The first thing you have to take into consideration is time.
The first word of an English sentence should be capitalize.|The first word of an English sentence should be capitalized.
The heavy snowfall prevent our train from leaving on time.|The heavy snowfall prevented our train from leaving on time.
The local newspaper be endorsing the conservative candidate.|The local newspaper is endorsing the conservative candidate.
The news of her sudden death come like a bolt from the blue.|The news of her sudden death came like a bolt from the blue.
The origin of the universe will probably never be explain.|The origin of the universe will probably never be explained.
The pain she suffer while being tortured was unimaginable.|The pain she suffered while being tortured was unimaginable.
The people he be living with in London are coming to see me.|The people he is living with in London are coming to see me.
The police fish a dead body out of the river this morning.|The police fished a dead body out of the river this morning.
The power of hbe physique be evident to all who look at him.|The power of his physique is evident to all who look at him.
The prevention of forest fires be everyone's responsibility.|The prevention of forest fires is everyone's responsibility.
The schedule dictates that this work be do by the weekend.|The schedule dictates that this work be done by the weekend.
The store be so crowded that they lost sight of each other.|The store was so crowded that they lost sight of each other.
The suspect be hiding out in the mountains for three weeks.|The suspect was hiding out in the mountains for three weeks.
The tunnel cave in because of the earthquake the other day.|The tunnel caved in because of the earthquake the other day.
The war between France and England last one hundred years.|The war between France and England lasted one hundred years.
The water stop running because the hose has a kink in it.|The water stopped running because the hose has a kink in it.
There be no doubt in my mind that Tom will win the election.|There is no doubt in my mind that Tom will win the election.
There be 215 votes for the motion and 15 votes against it.|There were 215 votes for the motion and 15 votes against it.
There's no danger of this lamp set fire to the curtains.|There's no danger of this lamp setting fire to the curtains.
They ask his older brother to help them do their homework.|They asked his older brother to help them do their homework.
They establish a Japanese language class for the refugees.|They established a Japanese language class for the refugees.
Thbe be a sentence, that has the syllable count, of a haiku.|This is a sentence, that has the syllable count, of a haiku.
Thbe be the first time I've ever written a letter in French.|This is the first time I've ever written a letter in French.
Thbe be the hottest summer that we have had in thirty years.|This is the hottest summer that we have had in thirty years.
Thbe be the house where that poet lived when he was a child.|This is the house where that poet lived when he was a child.
This message turn out to be a little hard for me to write.|This message turned out to be a little hard for me to write.
Tom decide that it wasn't necessary to pay that bill today.|Tom decided that it wasn't necessary to pay that bill today.
Tom don't get paid as much as they told him they'd pay him.|Tom didn't get paid as much as they told him they'd pay him.
Tom don't know the difference between a mule and a donkey.|Tom doesn't know the difference between a mule and a donkey.
Tom fell asleep while he be driving and caused an accident.|Tom fell asleep while he was driving and caused an accident.
Tom kept talk and didn't let Mary get a word in edgewise.|Tom kept talking and didn't let Mary get a word in edgewise.
Tom played the piano for three hours without take a break.|Tom played the piano for three hours without taking a break.
Tom say he felt rested and was ready to start hiking again.|Tom said he felt rested and was ready to start hiking again.
Tom say he can make a decent living as a sidewalk musician.|Tom says he can make a decent living as a sidewalk musician.
Tom told Mary that she be the fattest woman he'd ever seen.|Tom told Mary that she was the fattest woman he'd ever seen.
Tom be looking for place to eat that had reasonable prices.|Tom was looking for place to eat that had reasonable prices.
Tom's lose a lot of blood, but he hasn't lose consciousness.|Tom's lost a lot of blood, but he hasn't lost consciousness.
We be going to make up for lost time by taking a short cut.|We are going to make up for lost time by taking a short cut.
We do not expect him to finish the task in so short a time.|We did not expect him to finish the task in so short a time.
We need to get this truck unloaded before it starts rain.|We need to get this truck unloaded before it starts raining.
We take it for grant that he will succeed in his business.|We take it for granted that he will succeed in his business.
We're look for some computer-savvy people to work for us.|We're looking for some computer-savvy people to work for us.
What do it cost to build a new house in this neighborhood?|What does it cost to build a new house in this neighborhood?
What make you think that Tom prefers living in the country?|What makes you think that Tom prefers living in the country?
When he get into trouble, he turned to his parents for help.|When he got into trouble, he turned to his parents for help.
When you've finish reading that book, I'd like to read it.|When you've finished reading that book, I'd like to read it.
With the bridge destroyed, there be nothing to do but swim.|With the bridge destroyed, there was nothing to do but swim.
Without your encouragement, I would have give up this plan.|Without your encouragement, I would have given up this plan.
Would you consider take care of my children next Saturday?|Would you consider taking care of my children next Saturday?
Years of run in marathons have taken a toll on my knees.|Years of running in marathons have taken a toll on my knees.
You must have women throw themselves at you all the time.|You must have women throwing themselves at you all the time.
You promise me that you would make something for us to eat.|You promised me that you would make something for us to eat.
You should go to the dentist and have that tooth pull out.|You should go to the dentist and have that tooth pulled out.
You should not despbee a man just because he be poorly paid.|You should not despise a man just because he is poorly paid.
You should try to form the habit of use your dictionaries.|You should try to form the habit of using your dictionaries.
You'd be amaze how many times I've told Tom not to do that.|You'd be amazed how many times I've told Tom not to do that.
You're the only person I know who be qualified for thbe job.|You're the only person I know who is qualified for this job.
Your eccentricities can make you either charm or tedious.|Your eccentricities can make you either charming or tedious.
"How do you get in here?|"How did you get in here?
"  "Shall I have him call you when he get back?|"  "Shall I have him call you when he gets back?
"  "What's go on in the cave?|"  "What's going on in the cave?
A new team be formed in order to take part in the boat race.|A new team was formed in order to take part in the boat race.
A young man ask us if he could succeed as a public speaker.|A young man asked us if he could succeed as a public speaker.
After eight months, he eventually start dating girls again.|After eight months, he eventually started dating girls again.
After much debate, we decide to spend our holidays in Spain.|After much debate, we decided to spend our holidays in Spain.
After the Christmas party be over, we all went out caroling.|After the Christmas party was over, we all went out caroling.
An electric guitar don't sound the same as an acoustic one.|An electric guitar doesn't sound the same as an acoustic one.
Apart from a few spell mistakes, it is a good composition.|Apart from a few spelling mistakes, it is a good composition.
Apparently my bare feet bother him more than anything else.|Apparently my bare feet bothered him more than anything else.
Are you aware that Okinawa be closer to China than to Honshu?|Are you aware that Okinawa is closer to China than to Honshu?
As I get the train this morning, I met an old friend of mine.|As I got the train this morning, I met an old friend of mine.
As have been expected, the weather turned out to be very fine.|As had been expected, the weather turned out to be very fine.
As the train pull out, they waved goodbye to their parents.|As the train pulled out, they waved goodbye to their parents.
Before go to study in Paris, I must brush up on my French.|Before going to study in Paris, I must brush up on my French.
Can you please tell me where the nearest public telephone be?|Can you please tell me where the nearest public telephone is?
Cancer can be cure easily if it is found in its first phase.|Cancer can be cured easily if it is found in its first phase.
Children whose pbents be rich do not know how to use money.|Children whose parents are rich do not know how to use money.
Delegates from many countries participate in the conference.|Delegates from many countries participated in the conference.
Do you believe global warm is the result of human actions?|Do you believe global warming is the result of human actions?
Do you think it's dangerous to eat genetically modify food?|Do you think it's dangerous to eat genetically modified food?
Do you want this do quickly or do you want this do right?|Do you want this done quickly or do you want this done right?
What's be done has be done.|What's been done has been done.
He don't know what he's talking about.|He doesn't know what he's talking about.
During droughts, farmers be bbely able to eke out a living.|During droughts, farmers are barely able to eke out a living.
Education do not consist simply in learning a lot of facts.|Education does not consist simply in learning a lot of facts.
Everyone looks the same, except the one stand on his head.|Everyone looks the same, except the one standing on his head.
Hailing a cab in Manhattan at 5:00 p.m. be nearly impossible.|Hailing a cab in Manhattan at 5:00 p.m. is nearly impossible.
Have you have a thorough medical checkup within the last year?|Have you had a thorough medical checkup within the last year?
He anonymously donate a large sum of money to the Red Cross.|He anonymously donated a large sum of money to the Red Cross.
He do not like to wait until the last moment to do a thing.|He does not like to wait until the last moment to do a thing.
He introduce the problem of education into the conversation.|He introduced the problem of education into the conversation.
He be working hard in order to pass the entrance examination.|He is working hard in order to pass the entrance examination.
He must be a good walker to have walk such a long distance.|He must be a good walker to have walked such a long distance.
He never opens his mouth without complain about something.|He never opens his mouth without complaining about something.
He say what he thinks regardless of other people's feelings.|He says what he thinks regardless of other people's feelings.
He be so busy that he sent his son instead of going himself.|He was so busy that he sent his son instead of going himself.
He's an accredit representative of the Canadian government.|He's an accredited representative of the Canadian government.
His lack of technical knowledge kept him from be promoted.|His lack of technical knowledge kept him from being promoted.
How many days will it take if I send this as register mail?|How many days will it take if I send this as registered mail?
How many students have be admitted to the school this year?|How many students have been admitted to the school this year?
How many suicides do you think there be every year in Japan?|How many suicides do you think there are every year in Japan?
I be sorry that I haven't written to you in such a long time.|I am sorry that I haven't written to you in such a long time.
I can't believe that you be the smartest kid in your class.|I can't believe that you were the smartest kid in your class.
I can't tell you how happy I be that you've come to visit us.|I can't tell you how happy I am that you've come to visit us.
I can't tell you how much I've look forward to this moment.|I can't tell you how much I've looked forward to this moment.
I don't know that this was the first time you kissed a girl.|I didn't know that this was the first time you kissed a girl.
I don't want to spend any more time working on that project.|I didn't want to spend any more time working on that project.
I don't know how I do it.|I don't know how I did it.
What's important be that I did it.|What's important is that I did it.
I finally found out what have been causing the pain in my leg.|I finally found out what had been causing the pain in my leg.
I give you an extra hour and you still didn't finish the job.|I gave you an extra hour and you still didn't finish the job.
I have a nagging sensation that I'd seen him somewhere before.|I had a nagging sensation that I'd seen him somewhere before.
I have no desire to understand what go on inside your head.|I have no desire to understand what goes on inside your head.
I heard a cotton candy shop have just opened.|I heard a cotton candy shop has just opened.
I hope you know that the last thing I want to do be hurt you.|I hope you know that the last thing I want to do is hurt you.
I must apologize for not have written for such a long time.|I must apologize for not having written for such a long time.
I really do want to devote some more time to study French.|I really do want to devote some more time to studying French.
I remember the event as vividly as if it be just yesterday.|I remember the event as vividly as if it were just yesterday.
I try to open the door, but I couldn't since it was locked.|I tried to open the door, but I couldn't since it was locked.
I want this work complete by two o'clock tomorrow afternoon.|I want this work completed by two o'clock tomorrow afternoon.
I want to get into shape, so I've be working out every day.|I want to get into shape, so I've been working out every day.
I want to try my best for as long as I be physically able to.|I want to try my best for as long as I am physically able to.
I be able to find the street, but I couldn't find her house.|I was able to find the street, but I couldn't find her house.
I be wondering if you would like to go to the dance with me.|I was wondering if you would like to go to the dance with me.
I won't be pressure into doing something I don't want to do.|I won't be pressured into doing something I don't want to do.
I'll lend you the money, but mind you, thbe be the last time.|I'll lend you the money, but mind you, this is the last time.
I'm extremely embarrass that it has taken so long to reply.|I'm extremely embarrassed that it has taken so long to reply.
I'm glad to see that you're study harder than you used to.|I'm glad to see that you're studying harder than you used to.
I've be riding so long I'm starting to smell like my horse.|I've been riding so long I'm starting to smell like my horse.
I've be trying to get a hold of you for the past two hours.|I've been trying to get a hold of you for the past two hours.
If I have 25% more income, I'd be more satisfied with my life.|If I had 25% more income, I'd be more satisfied with my life.
If I have have enough money, I would have bought that computer.|If I had had enough money, I would have bought that computer.
If I have known that you were here, I would have come at once.|If I had known that you were here, I would have come at once.
If I have not overslept, I would have been in time for school.|If I had not overslept, I would have been in time for school.
If I'm not mistaken, I think we take a wrong turn back there.|If I'm not mistaken, I think we took a wrong turn back there.
If something sounds too good to be true, then it probably be.|If something sounds too good to be true, then it probably is.
If that be true, then he be not responsible for the accident.|If that is true, then he is not responsible for the accident.
If the medicine ben't working, maybe we should up the dosage.|If the medicine isn't working, maybe we should up the dosage.
If you could manage to go camp with us, we'd be delighted.|If you could manage to go camping with us, we'd be delighted.
If you have not eaten so much, you would not be so sleepy now.|If you had not eaten so much, you would not be so sleepy now.
If you want something do right, you have to do it yourself.|If you want something done right, you have to do it yourself.
In 1978 a peace treaty be concluded between Japan and China.|In 1978 a peace treaty was concluded between Japan and China.
In November, olives be harvested from the trees to make oil.|In November, olives are harvested from the trees to make oil.
In retrospect, I probably shouldn't have go there with her.|In retrospect, I probably shouldn't have gone there with her.
Is it true that Boston be a popular destination for tourbets?|Is it true that Boston is a popular destination for tourists?
It costs more to mint a penny than the penny itself be worth.|It costs more to mint a penny than the penny itself is worth.
It don't matter to us if you take a photo from the outside.|It doesn't matter to us if you take a photo from the outside.
It be generally hard to adapt to living in a foreign culture.|It is generally hard to adapt to living in a foreign culture.
It never occur to me that he might be an escaped prisoner.|It never occurred to me that he might be an escaped prisoner.
It never occur to me that the whole thing might be a scam.|It never occurred to me that the whole thing might be a scam.
It sounds to me as if he have something to do with the matter.|It sounds to me as if he has something to do with the matter.
It be a pleasant day, but there were few people in the park.|It was a pleasant day, but there were few people in the park.
It be a very slow train.|It was a very slow train.
It stop at every little station.|It stopped at every little station.
It be entirely by chance that I found out what he be doing.|It was entirely by chance that I found out what he was doing.
It be in 1912 that the Titanic sank during her first voyage.|It was in 1912 that the Titanic sank during her first voyage.
It would never have occur to me to say anything like that.|It would never have occurred to me to say anything like that.
It'll be a long time before she get over her father's death.|It'll be a long time before she gets over her father's death.
It's about time the government do something about pollution.|It's about time the government did something about pollution.
It's not a secret that Tom's opinion be different than yours.|It's not a secret that Tom's opinion is different than yours.
Japanese houses be built of wood and they catch fire easily.|Japanese houses are built of wood and they catch fire easily.
Just by look at your face, I know that you have good news.|Just by looking at your face, I know that you have good news.
Last night be very hot and muggy, so I didn't sleep so well.|Last night was very hot and muggy, so I didn't sleep so well.
Last night, I be so tired that I fell asleep with the TV on.|Last night, I was so tired that I fell asleep with the TV on.
Many Americans still have money they have saved during the war.|Many Americans still had money they had saved during the war.
Many students go to Europe for the purpose of study music.|Many students go to Europe for the purpose of studying music.
Mary felt happy when she learn the results of the election.|Mary felt happy when she learned the results of the election.
Mary looks like her mother, but her personality be different.|Mary looks like her mother, but her personality is different.
Mental exercbee be particularly important for young children.|Mental exercise is particularly important for young children.
Microsoft have a completely new operating system in the works.|Microsoft has a completely new operating system in the works.
Most of us be much more interesting than the world suspects.|Most of us are much more interesting than the world suspects.
My children have eaten all the cookies by the time I got home.|My children had eaten all the cookies by the time I got home.
My fingers be so numb with cold that I can't play the piano.|My fingers are so numb with cold that I can't play the piano.
My grandfather on my mother's side pass away ten years ago.|My grandfather on my mother's side passed away ten years ago.
None of us want to go, but either you or your wife have to go.|None of us want to go, but either you or your wife has to go.
Not a day seem to pass without newspapers reporting the war.|Not a day seems to pass without newspapers reporting the war.
Now that you have finish your job, you are free to go home.|Now that you have finished your job, you are free to go home.
Of all the films I rent, this is the only one worth seeing.|Of all the films I rented, this is the only one worth seeing.
Of all the possible reasons, he chose the least expect one.|Of all the possible reasons, he chose the least expected one.
One moment, they be arguing and the next they be kissing.|One moment, they were arguing and the next they were kissing.
Our mountains ben't really very high.|Our mountains aren't really very high.
Yours be much bigger.|Yours are much bigger.
Plastics have take the place of many conventional materials.|Plastics have taken the place of many conventional materials.
Portugal have decriminalized the personal possession of drugs.|Portugal has decriminalized the personal possession of drugs.
Protesters be picketing outside the company's headquarters.|Protesters were picketing outside the company's headquarters.
Recently, they have not be giving her her paycheck on time.|Recently, they have not been giving her her paycheck on time.
Rosa Parks refuse to give up her seat for a white passenger.|Rosa Parks refused to give up her seat for a white passenger.
Scientists be fighting to stem the spread of the AIDS virus.|Scientists are fighting to stem the spread of the AIDS virus.
Several dozen young people participate in the demonstration.|Several dozen young people participated in the demonstration.
She advise him not to spend all his money on his girlfriend.|She advised him not to spend all his money on his girlfriend.
She exude nothing but confidence going into the final round.|She exuded nothing but confidence going into the final round.
She get into hot water when her boyfriend called her at work.|She got into hot water when her boyfriend called her at work.
She have a real talent for smoothing over troubled situations.|She had a real talent for smoothing over troubled situations.
She have a real knack for getting people to do what she wants.|She has a real knack for getting people to do what she wants.
She look for her children, but couldn't find them anywhere.|She looked for her children, but couldn't find them anywhere.
She peruse a magazine while waiting for her date to show up.|She perused a magazine while waiting for her date to show up.
She promise to meet him last night, but she never showed up.|She promised to meet him last night, but she never showed up.
She toss me grapes and I tried to catch them with my mouth.|She tossed me grapes and I tried to catch them with my mouth.
She visit the old man in the hospital every day but Sunday.|She visited the old man in the hospital every day but Sunday.
Since it be raining, we had to eat our picnic lunch indoors.|Since it was raining, we had to eat our picnic lunch indoors.
Some people think that advertbeing be a form of brainwashing.|Some people think that advertising is a form of brainwashing.
Something must be do immediately to deal with this problem.|Something must be done immediately to deal with this problem.
I could have sworn that I'd lock this door.|I could have sworn that I'd locked this door.
The African elephant have bigger ears than the Asian elephant.|The African elephant has bigger ears than the Asian elephant.
The British have military bases along New York's Hudson River.|The British had military bases along New York's Hudson River.
The British people turn to a new leader, Winston Churchill.|The British people turned to a new leader, Winston Churchill.
The angry mob overturn cars and smashed storefront windows.|The angry mob overturned cars and smashed storefront windows.
The boy be absent from school yesterday because he be sick.|The boy was absent from school yesterday because he was sick.
The child be told to apologize for being rude to the guests.|The child was told to apologize for being rude to the guests.
The class be too big so we split up into two smaller groups.|The class was too big so we split up into two smaller groups.
The conference be to be held in Tokyo the day after tomorrow.|The conference is to be held in Tokyo the day after tomorrow.
The crocodile trap the gnu as it tried to cross the river.|The crocodile trapped the gnu as it tried to cross the river.
The development of the computer industry have been very rapid.|The development of the computer industry has been very rapid.
The doctor advise me to take up some sport to stay in shape.|The doctor advised me to take up some sport to stay in shape.
The dog bar its fangs and growled as I approached the gate.|The dog bared its fangs and growled as I approached the gate.
The farmer caught the boy steal the apples in his orchard.|The farmer caught the boy stealing the apples in his orchard.
The foreman docked me an hour's pay for get to work late.|The foreman docked me an hour's pay for getting to work late.
The gardener plant a rose tree in the middle of the garden.|The gardener planted a rose tree in the middle of the garden.
The higher he rise in social rank, the more modest he became.|The higher he rose in social rank, the more modest he became.
The lovers fell into each other's arms every chance they get.|The lovers fell into each other's arms every chance they got.
The man do not so much as apologize for stepping on my foot.|The man did not so much as apologize for stepping on my foot.
The most incredible thing about miracles be that they happen.|The most incredible thing about miracles is that they happen.
The mystery surround his death was played up by the media.|The mystery surrounding his death was played up by the media.
The next day, at suppertime, I be introduced to her husband.|The next day, at suppertime, I was introduced to her husband.
The old houses be torn down to make room for a supermarket.|The old houses were torn down to make room for a supermarket.
The old man spent most of his time look back on his youth.|The old man spent most of his time looking back on his youth.
The only one who enjoys a crowd subway car is a pickpocket.|The only one who enjoys a crowded subway car is a pickpocket.
The person reading a book on the bench under the tree be Tom.|The person reading a book on the bench under the tree is Tom.
The president be expected to put forward a new energy policy.|The president is expected to put forward a new energy policy.
The readers cannot ascertain whether the news be true or not.|The readers cannot ascertain whether the news is true or not.
The results of a lie detector test be inadmissible in court.|The results of a lie detector test are inadmissible in court.
The rights of the individual be important in a free society.|The rights of the individual are important in a free society.
The room be so dark that we had to feel our way to the door.|The room was so dark that we had to feel our way to the door.
The severely injured man be dead on arrival at the hospital.|The severely injured man was dead on arrival at the hospital.
The sooner we get there, the more likely be we to get seats.|The sooner we get there, the more likely are we to get seats.
The story of a great flood be very common in world mythology.|The story of a great flood is very common in world mythology.
The tall guy smoking a cigar over there be a famous director.|The tall guy smoking a cigar over there is a famous director.
The teacher have given Tom permission to do whatever he wants.|The teacher has given Tom permission to do whatever he wants.
The war have taken a terrible toll on the civilian population.|The war has taken a terrible toll on the civilian population.
There be no sense in your worrying about your health so much.|There is no sense in your worrying about your health so much.
There be a traffic accident in front of the house yesterday.|There was a traffic accident in front of the house yesterday.
There be many things that we simply didn't have time to do.|There were many things that we simply didn't have time to do.
They say there was not enough time for a full investigation.|They said there was not enough time for a full investigation.
They want to oust the communist government of Fidel Castro.|They wanted to oust the communist government of Fidel Castro.
